id	nev	hosszusag	szelesseg
233	Alsóvadász	1254,41	2894,38
234	Golop	1271,55	2894,29
235	Királd	1222,48	2894,21
236	Tiszacsermely	1307,58	2894,17
237	Berente	1239,99	2894,13
238	Tállya	1273,71	2894,12
239	Nagykinizs	1262,1	2894,11
240	Ipolytarnóc	1177,49	2894,07
241	Barabás	1345,72	2893,87
242	Bánhorváti	1230,19	2893,73
243	Dombrád	1315,35	2893,73
244	Hangony	1212,11	2893,7
245	Tiszaadony	1337,59	2893,65
246	Szentistvánbaksa	1261,77	2893,39
247	Kisvárda	1324,84	2893,36
248	Aszaló	1257,65	2893,33
249	Ózd	1217,66	2893,3
250	Viss	1290,37	2893,13
251	Boldva	1247,3	2893,11
252	Sajószentpéter	1242,72	2893,1
253	Pap	1328,6	2893,08
254	Alacska	1239,23	2893,04
255	Szegilong	1283,93	2893,03
256	Uppony	1225,95	2893,01
257	Rátka	1273,84	2892,86
258	Monok	1269,08	2892,74
259	Borsodbóta	1223,89	2892,68
260	Litke	1176,15	2892,63
261	Györgytarló	1298,01	2892,44
262	Nyírlövő	1331,33	2892,25
263	Rétközberencs	1320,49	2892,22
264	Tiszakarád	1303,09	2892,18
265	Gelénes	1346,84	2892,03
266	Beregdaróc	1351,55	2891,97
267	Kenézlő	1291,82	2891,97
268	Vámosatya	1344,57	2891,93
269	Szegi	1282,93	2891,8
270	Mihálygerge	1178,09	2891,79
271	Sajósenye	1249,25	2891,79
272	Kissikátor	1207,82	2891,75
273	Sajókápolna	1241,19	2891,75
274	Szikszó	1255,78	2891,74
275	Tiszavid	1337,71	2891,7
276	Újdombrád	1312,23	2891,66
277	Mád	1276,7	2891,55
278	Tiszatelek	1308,37	2891,53
279	Sajóecseg	1246,53	2891,45
280	Megyaszó	1263,37	2891,29
281	Kondó	1238,68	2891,28
282	Borsodszentgyörgy	1212,28	2891,27
283	Zalkod	1287,93	2891,2
284	Karancsberény	1184,95	2891,15
285	Sáta	1223,77	2891,1
286	Sajólászlófalva	1240,6	2891,04
287	Farkaslyuk	1218,57	2891,01
288	Nógrádszakál	1171,68	2890,97
289	Domaháza	1206,34	2890,93
290	Sajóvámos	1249,97	2890,89
291	Alsódobsza	1260,22	2890,83
292	Egyházasgerge	1178,94	2890,82
293	Dédestapolcsány	1229,14	2890,81
294	Lövőpetri	1331,46	2890,81
295	Radostyán	1239,19	2890,76
296	Ajak	1323,26	2890,75
297	Tiszaszalka	1338,91	2890,71
298	Anarcs	1326,51	2890,64
299	Arló	1215,45	2890,63
300	Pátroha	1319,84	2890,58
301	Gyüre	1336,22	2890,55
302	Paszab	1289,79	2890,46
303	Szabolcs	1289,79	2890,46
304	Balsa	1291,9	2890,44
305	Bodrogkisfalud	1281,77	2890,41
306	Gégény	1340,96	2890,41
307	Sajóbábony	1243,93	2890,29
308	Tardona	1231,92	2890,21
309	Nekézseny	1225,74	2890,18
310	Parasznya	1238,57	2890,13
311	Gávavencsellő	1294,82	2890,09
312	Sajókeresztúr	1246,55	2890,08
313	Csokvaomány	1222,49	2889,96
314	Varbó	1237,39	2889,84
315	Sajópálfala	1250,76	2889,82
316	Nagyvarsány	1337,15	2889,81
317	Beregsurány	1352,93	2889,77
318	Szerencs	1271,92	2889,76
319	Karancskeszi	1182,08	2889,75
320	Csaroda	1347,55	2889,74
321	Beszterec	1310,34	2889,62
322	Bodrogkeresztúr	1281,64	2889,54
323	Legyesbénye	1269,28	2889,48
324	Timár	1287,81	2889,39
325	Tiszabercel	1298,5	2889,39
326	Sóstófalva	1259,36	2889,38
327	Szabolcsbáka	1328,71	2889,34
328	Járdánháza	1214,8	2889,29
329	Mályinka	1229,71	2889,29
330	Tákos	1345,59	2889,25
331	Karancslapujtő	1184,43	2889,19
332	Szirmabesenyő	1247,88	2889,16
333	Bekecs	1270,41	2889,12
334	Mezőzombor	1275,7	2889,02
335	Lénárddaróc	1222,31	2888,88
336	Kisar	1337,99	2888,83
337	Kisvarsány	1337,99	2888,83
338	Cered	1197,93	2888,75
339	Szécsényfelfalu	1174,16	2888,74
340	Csernely	1220,33	2888,59
341	Nagyvisnyó	1225,62	2888,47
342	Zabar	1203,21	2888,38
343	Gyulaháza	1326,68	2888,34
344	Gemzse	1331,64	2888,33
345	Ludányhalászi	1171,76	2888,31
346	Nagyhalász	1305,26	2888,29
347	Piliny	1176,1	2888,29
348	Újcsanálos	1260,34	2888,29
349	Tarcal	1280,67	2887,9
350	Karancsalja	1185,52	2887,81
351	Litka	1269,73	2887,81
352	Bükkmogyorósd	1221,37	2887,77
353	Arnót	1251,58	2887,75
354	Vásárosnamény	1338,82	2887,72
355	Hetefejércse	1348,4	2887,71
356	Endrefalva	1174,67	2887,63
357	Nyíregyháza	1288,34	2887,45
358	Rakamaz	1288,06	2887,43
359	Szalmatercs	1178,23	2887,42
360	Fehérgyarmat	1316,52	2887,41
361	Tiszarád	1307,87	2887,36
362	Borsodnádasd	1214,75	2887,35
363	Onga	1254,53	2887,26
364	Ilk	1334,39	2887,07
365	Szilaspogony	1201,37	2887,05
366	Kék	1312,64	2886,97
367	Karancsság	1179,64	2886,96
368	Nyírtass	1321,55	2886,88
369	Tokaj	1284,75	2886,75
370	Vasmegyer	1308,95	2886,74
371	Jánd	1342,65	2886,72
372	Salgótarján	1188,88	2886,66
373	Etes	1183,17	2886,65
374	Tiszacsécse	1364,62	2886,65
375	Taktaszada	1270,45	2886,55
376	Demecser	1315,22	2886,48
377	Ságújfalu	1180,72	2886,37
378	Tarpa	1351,8	2886,36
379	Felsőzsolca	1251,59	2886,29
380	Kisnamény	1366,92	2886,26
381	Milota	1366,92	2886,26
382	Miskolc	1247,96	2886,22
383	Szilvásvárad	1223,27	2886,16
384	Tiszabecs	1369,38	2886,08
385	Buj	1298,45	2886,06
386	Bárna	1196,15	2885,97
387	Berkesz	1317,76	2885,83
388	Nyírkarász	1325,93	2885,81
389	Ibrány	1282,4	2885,75
390	Balaton	1218,32	2885,66
391	Hernádkak	1257,75	2885,4
392	Taktaharkány	1267,8	2885,35
393	Olcsvaapáti	1341,08	2885,34
394	Olcsva	1339,82	2885,26
395	Hugyag	1166,02	2885,24
396	Gulács	1348,14	2885,23
397	Szatmárcseke	1357,79	2885,21
398	Kishartyán	1182,35	2885,08
399	Prügy	1274,76	2885,02
400	Magyargéc	1176,25	2885,01
401	Istenmezeje	1203,18	2884,87
402	Bekölce	1216,28	2884,83
403	Szécsény	1171,2	2884,71
404	Őrhalom	1164,31	2884,58
405	Alsózsolca	1252,91	2884,5
406	Balassagyarmat	1157,77	2884,48
407	Uszka	1371,57	2884,46
408	Sóshartyán	1181,06	2884,35
409	Hernádnémeti	1258,41	2884,3
410	Bükkszentmárton	1219,98	2884,29
411	Szentdomonkos	1212,18	2884,22
412	Nógrádmegyer	1177,59	2884,12
413	Bükkszentkereszt	1238	2884,06
414	Patvarc	1160,82	2884,02
415	Kemecse	1307,88	2883,98
416	Tivadar	1350,61	2883,91
417	Nyírmada	1331,94	2883,83
418	Taktabáj	1278,72	2883,83
419	Ipolyvece	1146,73	2883,72
420	Tiszaladány	1284,62	2883,69
421	Nagyar	1353,15	2883,61
422	Pusztadobos	1333,73	2883,54
423	Tarnalelesz	1210,96	2883,54
424	Székely	1316,54	2883,51
425	Váraszó	1206,75	2883,51
426	Nyírbogdány	1312,35	2883,43
427	Mikófalva	1219,16	2883,37
428	Rápolt	1372,83	2883,35
429	Petneháza	1324,91	2883,33
430	Csengersima	1367,72	2883,31
431	Bélapátfalva	1221,14	2883,3
432	Mátraszele	1193,81	2883,29
433	Egercsehi	1215,44	2883,26
434	Nagydobos	1338,75	2883,24
435	Csitár	1165,91	2883,22
436	Túristvándi	1358,66	2883,19
437	Bükkszenterzsébet	1208,98	2883,18
438	Laskod	1322,52	2883,15
439	Kótaj	1302,01	2883,14
440	Drégelypalánk	1143,33	2883,09
441	Kölcse	1362,73	2883,09
442	Magosliget	1372,18	2883,09
443	Vizslás	1189,44	2883,04
444	Kazár	1191,62	2883,03
445	Taktakenéz	1273,12	2883,03
446	Hont	1139,84	2882,97
447	Csobaj	1280,33	2882,91
448	Répáshuta	1231,7	2882,9
449	Szúcs	1214,94	2882,84
450	Bőcs	1257,49	2882,69
451	Panyola	1343,84	2882,61
452	Nyírtelek	1281,02	2882,55
453	Szamosszeg	1342,1	2882,52
454	Ramocsaháza	1319,15	2882,48
455	Sajólád	1254,22	2882,46
456	Tiszatardos	1282,83	2882,46
457	Varsány	1169,51	2882,43
458	Nagykeresztúr	1182,9	2882,4
459	Kistokaj	1250,4	2882,37
460	Mátranovák	1198,97	2882,35
461	Dejtár	1150,32	2882,31
462	Szügy	1159,8	2882,31
463	Erdőkövesd	1206,26	2882,28
464	Rimóc	1171,73	2882,21
465	Bernecebaráti	1135,03	2882,19
466	Mónosbél	1220,22	2882,17
467	Sajópetri	1253,35	2882,16
468	Tiszalúc	1263,95	2882,11
469	Nagylóc	1174,57	2882,07
470	Fedémes	1211,32	2882,06
471	Tiszaeszlár	1287,52	2882,04
472	Tésa	1130,69	2882,01
473	Iliny	1165,59	2881,99
474	Nyírjákó	1324,59	2881,88
475	Lucfalva	1181,52	2881,85
476	Tiszadada	1274,34	2881,84
477	Rohod	1328,04	2881,7
478	Berzék	1258,94	2881,65
479	Nógrádmarcal	1163,28	2881,61
480	Egerbocs	1215,64	2881,6
481	Mátraterenye	1197,47	2881,59
482	Kömörő	1355,9	2881,47
483	Nagyszekeres	1355,9	2881,47
484	Nyírparasznya	1336,05	2881,41
485	Kispalád	1370,28	2881,31
486	Patak	1148,99	2881,26
487	Tiszalök	1282,65	2881,18
488	Pétervására	1205,98	2881,17
489	Kemence	1133,79	2881,15
490	Ivád	1203,85	2881,12
491	Nyíribrony	1317,83	2881,03
492	Szamoskér	1345,02	2881,02
493	Kisbárkány	1181,19	2881
494	Csesztve	1156,88	2880,99
495	Mályi	1249,44	2880,96
496	Márkháza	1183,16	2880,9
497	Nyírtura	1309,86	2880,9
498	Nyírkércs	1322,88	2880,84
499	Kisgyőr	1241,28	2880,67
500	Hevesaranyos	1214,29	2880,51
501	Nógrádsipek	1170,17	2880,5
502	Nemti	1193,99	2880,45
503	Nagyoroszi	1145,57	2880,42
504	Nábrád	1346,79	2880,4
505	Tiszadob	1270,26	2880,37
506	Nyírtét	1315,47	2880,27
507	Sajóhidvég	1256,94	2880,21
508	Ónod	1254,98	2880,14
509	Horpács	1147,93	2880,08
510	Sényő	1312,55	2880,07
511	Mánd	1356,22	2880,05
512	Baktalórántháza	1325,05	2879,97
513	Érsekvadkert	1152,02	2879,96
514	Hollókő	1175,63	2879,87
515	Nagybárkány	1182,19	2879,85
516	Penyige	1353,96	2879,83
517	Ópályi	1339,23	2879,81
518	Rajka	1031,86	2879,81
519	Vaja	1330,43	2879,75
520	Perőcsény	1132,04	2879,74
521	Nyékládháza	1250,47	2879,65
522	Mohora	1160,54	2879,6
523	Vámosoroszi	1360,97	2879,6
524	Bátonyterenye	1189,58	2879,55
525	Bátor	1215,84	2879,41
526	Bükkszék	1210,63	2879,33
527	Kisfüzes	1207,69	2879,32
528	Dorogháza	1194,19	2879,25
529	Sámsonháza	1183,27	2879,22
530	Botpalád	1363,96	2879,14
531	Csaholc	1363,96	2879,14
532	Bükkaranyos	1247	2879,11
533	Papos	1334,97	2879,1
534	Köröm	1257,13	2879
535	Sajószöged	1257,13	2879
536	Mátraballa	1201,4	2878,99
537	Nyírpazony	1307,9	2878,87
538	Mátramindszent	1196,13	2878,86
539	Muhi	1255,86	2878,83
540	Vámosmikola	1127,53	2878,76
541	Cserháthaláp	1162,85	2878,75
542	Cserhátsurány	1165,55	2878,67
543	Garáb	1178,5	2878,67
544	Pusztaberki	1150,06	2878,65
545	Kisszekeres	1358,74	2878,6
546	Borsosberény	1146,69	2878,56
547	Herencsény	1168,46	2878,54
548	Túrricse	1366,04	2878,51
549	Szuha	1194,93	2878,5
550	Őr	1331,25	2878,48
551	Felsőtárkány	1225,07	2878,44
552	Mátraverebély	1186,7	2878,41
553	Terpes	1209,12	2878,3
554	Kishódos	1370,15	2878,27
555	Kesznyéten	1262,6	2878,21
556	Jármi	1334,97	2878,17
557	Kérsemjén	1334,97	2878,17
558	Szente	1157,3	2878,17
559	Harsány	1244,52	2878,12
560	Girincs	1259,05	2878,11
561	Tunyogmatolcs	1347,08	2878,11
562	Felsőtold	1176,72	2878,09
563	Magyarnándor	1161,19	2878,02
564	Méhtelek	1373,67	2878,02
565	Kiscsécs	1260,77	2878
566	Levelek	1319,21	2878
567	Dunakiliti	1037,32	2877,97
568	Hejőkeresztúr	1253,12	2877,93
569	Nagycserkesz	1293,24	2877,88
570	Besenyőd	1320,51	2877,84
571	Debercsény	1159,15	2877,84
572	Nagyhódos	1371,22	2877,79
573	Nemesborzova	1371,22	2877,79
574	Tiszakóród	1371,22	2877,79
575	Szajla	1208,46	2877,72
576	Bezenye	1032,97	2877,63
577	Nagycsécs	1257,19	2877,63
578	Bükkzsérc	1230,2	2877,54
579	Mátraszőlős	1181	2877,54
580	Tisztaberek	1367,63	2877,52
581	Darnó	1359,76	2877,51
582	Fülesd	1359,76	2877,51
583	Kács	1236,85	2877,5
584	Apagy	1316,15	2877,48
585	Borsodgeszt	1241,68	2877,41
586	Hodász	1339,27	2877,4
587	Márokpapi	1339,27	2877,4
588	Mátészalka	1339,27	2877,4
589	Szátok	1154,23	2877,37
590	Tiszanagyfalu	1281,96	2877,37
591	Tiszavasvári	1281,96	2877,37
592	Sajóörös	1261,3	2877,25
593	Alsótold	1175,97	2877,12
594	Tar	1184,7	2877,11
595	Tereske	1151,96	2877,06
596	Sály	1239,8	2877,02
597	Sonkád	1355,41	2876,99
598	Zsarolyán	1355,41	2876,99
599	Mátraderecske	1205,2	2876,88
600	Kutasó	1172,58	2876,84
601	Terény	1166,49	2876,84
602	Garbolc	1371,86	2876,7
603	Diósjenő	1142,79	2876,61
604	Szakáld	1254,43	2876,61
605	Bodony	1201,44	2876,58
606	Napkor	1312,18	2876,57
607	Cserépfalu	1232,19	2876,5
608	Fülpösdaróc	1348,87	2876,45
609	Hejőszalonta	1252,9	2876,42
610	Tiszagyulaháza	1268,68	2876,42
611	Jánkmajtis	1359,29	2876,41
612	Kocsord	1342,97	2876,4
613	Magy	1318,82	2876,4
614	Cserhátszentiván	1174,93	2876,39
615	Dunasziget	1041,16	2876,33
616	Kisecset	1158,86	2876,28
617	Géberjén	1347,98	2876,24
618	Kántorjánosi	1328,88	2876,23
619	Nagybörzsöny	1129,96	2876,23
620	Emőd	1248,96	2876,19
621	Noszvaj	1228,62	2876,18
622	Cégénydányád	1352,91	2876,16
623	Feketeerdő	1036,79	2876,14
624	Kétbodony	1157,13	2876,14
625	Egerbakta	1217,55	2876,07
626	Győrtelek	1346,15	2876,07
627	Ófehértó	1322,82	2876,05
628	Recsk	1206,63	2875,95
629	Bokor	1172,49	2875,92
630	Cserépváralja	1233,64	2875,91
631	Gacsály	1365,36	2875,88
632	Tiszaújváros	1263,09	2875,81
633	Sirok	1211,93	2875,78
634	Tolmács	1146,65	2875,77
635	Rétság	1148,32	2875,76
636	Szanda	1166,55	2875,74
637	Rozsály	1368,06	2875,44
638	Gyügye	1354,15	2875,43
639	Ipolytölgyes	1126,56	2875,43
640	Bánk	1150,55	2875,42
641	Parád	1201,9	2875,42
642	Romhány	1155,94	2875,37
643	Tibolddaróc	1238,12	2875,34
644	Vatta	1244,54	2875,3
645	Pásztó	1181,83	2875,2
646	Ököritófülpös	1350,57	2875,13
647	Szamosújlak	1355,24	2875,04
648	Császló	1363,47	2874,97
649	Újtikos	1270,61	2874,96
650	Kozárd	1177,16	2874,91
651	Hegyeshalom	1029,34	2874,86
652	Nyírmeggyes	1335,91	2874,83
653	Parádsasvár	1198,75	2874,73
654	Becske	1162,68	2874,67
655	Mátraszentimre	1192,86	2874,51
656	Hejőbába	1256,75	2874,37
657	Zajta	1368,04	2874,32
658	Szécsénke	1160,07	2874,31
659	Nógrád	1143,06	2874,3
660	Szamossályi	1357,77	2874,29
661	Nyírcsaholy	1340,24	2874,24
662	Bököny	1303,65	2874,15
663	Bogács	1232,04	2874,14
664	Hermánszeg	1356,66	2874,06
665	Eger	1222,75	2874,04
666	Ecseg	1176,4	2873,92
667	Nyírderzs	1329,77	2873,92
668	Kisbodak	1045,19	2873,81
669	Hejőpapi	1254,4	2873,8
670	Levél	1032,21	2873,67
671	Egerszólát	1216,21	2873,51
672	Halászi	1039,8	2873,5
673	Szomolya	1229,72	2873,48
674	Berkenye	1144,35	2873,36
675	Bükkábrány	1240,93	2873,36
676	Nemesbikk	1258,14	2873,32
677	Csincse	1246,21	2873,31
678	Tyukod	1326,85	2873,31
679	Nyírgyulaj	1325,49	2873,17
680	Püski	1044,46	2873,12
681	Letkés	1126,57	2873,11
682	Tiszapalkonya	1263,5	2873,07
683	Nőtincs	1148,39	2873,01
684	Buják	1172,66	2872,96
685	Pócspetri	1319,63	2872,94
686	Tard	1235,86	2872,88
687	Csegöld	1365,88	2872,79
688	Porcsalma	1354,13	2872,76
689	Nógrádkövesd	1162,38	2872,74
690	Tarnaszentmária	1212,17	2872,72
691	Kálmánháza	1294,76	2872,67
692	Legénd	1158,85	2872,65
693	Szamostatárfalva	1360,11	2872,62
694	Dunaremete	1046,33	2872,61
695	Máriapócs	1321,46	2872,54
696	Alsópetény	1154,79	2872,47
697	Oszlár	1262,04	2872,47
698	Kóspallag	1136,17	2872,46
699	Egerszalók	1219,53	2872,43
700	Szamosangyalos	1359,11	2872,42
701	Bercel	1164,41	2872,36
702	Mosonmagyaróvár	1036,07	2872,3
703	Pátyod	1356,74	2872,16
704	Nyírcsászári	1330,47	2872,11
705	Szokolya	1140,23	2872,09
706	Polgár	1266,81	2872,08
707	Igrici	1252,97	2872,06
708	Csécse	1177,43	2872,04
709	Nagyecsed	1343,38	2871,95
710	Nyírkáta	1334,68	2871,93
711	Márianosztra	1132,44	2871,92
712	Ostoros	1226,02	2871,91
713	Bér	1170,32	2871,84
714	Lipót	1047,89	2871,75
715	Mezőnyárád	1240,77	2871,69
716	Szamosbecs	1361,46	2871,59
717	Kállósemjén	1315,59	2871,57
718	Ősagárd	1151,61	2871,54
719	Máriakálnok	1039,44	2871,53
720	Szurdokpüspöki	1181,72	2871,51
721	Novaj	1229	2871,45
722	Hejőkürt	1259,72	2871,41
723	Szendehely	1146,32	2871,37
724	Kisnána	1208,92	2871,14
725	Mosonszolnok	1030,52	2871,12
726	Andornaktálya	1224,7	2871,05
727	Darnózseli	1045,59	2871
728	Galgaguta	1163,4	2870,86
729	Verpelét	1213,71	2870,75
730	Nézsa	1157,78	2870,72
731	Hajdúnánás	1285,79	2870,71
732	Fábiánháza	1341,4	2870,63
733	Komlódtótfalu	1362,25	2870,59
734	Ipolydamásd	1129,83	2870,46
735	Nógrádsáp	1161,35	2870,4
736	Csenger	1360,57	2870,24
737	Nyírbátor	1327,77	2870,23
738	Várbalog	1024,43	2870,17
739	Keszeg	1154,31	2870,16
740	Kisléta	1320,31	2870,07
